2021-09-10 14:32:55,969 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125547.9822
2021-09-10 14:32:55,969 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 6 was determined to be 125547.9822, output is 125547.984375
2021-09-10 14:32:55,969 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125497.6556
2021-09-10 14:32:55,970 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 7 was determined to be 125497.6556, output is 125497.65625
2021-09-10 14:32:55,970 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125800.2205
2021-09-10 14:32:55,970 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 8 was determined to be 125800.2205, output is 125800.21875
2021-09-10 14:32:55,970 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125844.4662
2021-09-10 14:32:55,970 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 9 was determined to be 125844.4662, output is 125844.46875
2021-09-10 14:32:55,970 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125768.6354
2021-09-10 14:32:55,971 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 10 was determined to be 125768.6354, output is 125768.6328125
2021-09-10 14:32:55,971 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125478.7935
2021-09-10 14:32:55,971 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 11 was determined to be 125478.7935, output is 125478.796875
2021-09-10 14:32:55,971 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125699.2039
2021-09-10 14:32:55,971 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 12 was determined to be 125699.2039, output is 125699.203125
2021-09-10 14:32:55,971 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 126059.8162
2021-09-10 14:32:55,971 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 13 was determined to be 126059.8162, output is 126059.8125
2021-09-10 14:32:55,972 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125680.2813
2021-09-10 14:32:55,972 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 14 was determined to be 125680.2813, output is 125680.28125
2021-09-10 14:32:55,972 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125522.8139
2021-09-10 14:32:55,972 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - Channel 15 was determined to be 125522.8139, output is 125522.8125
2021-09-10 14:32:55,972 [7] INFO  MesoMatDemoApp.SerialCommunicator [(null)] - looking at 125221.5771
